2026-07-01 21:30:07 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:30:07 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-01 21:30:07 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:30:07 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:30:08 | INFO     | trading_bot | Order response: orderId=18271766087 status=NEW executedQty=0.0000 avgPrice=None
2026-07-01 21:30:08 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18271766087, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ9a1b49e39f1344f1fa4932', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782921609201}
2026-07-01 21:35:13 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:35:13 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-01 21:35:41 | INFO     | trading_bot | Auto-trading stopped by user
2026-07-01 21:38:33 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:38:33 | INFO     | trading_bot | Starting automated trading for BTCUSDT
2026-07-01 21:40:29 | INFO     | trading_bot | Auto-trading stopped by user
2026-07-01 21:41:21 | DEBUG    | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-01 21:41:21 | DEBUG    | trading_bot | Symbol validation passed: BTCUSDT
2026-07-01 21:41:21 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:41:21 | DEBUG    | trading_bot | Raw request payload: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-07-01 21:41:23 | INFO     | trading_bot | Order response: orderId=18273721489 status=NEW executedQty=0.0000 avgPrice=None
2026-07-01 21:41:23 | DEBUG    | trading_bot | Raw response payload: {'orderId': 18273721489, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJdc83824a666762d5d815c6', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782922283299}
